brand,model,year,age_years,distance_driven_km,engine_litres,price_aud,fuel_type,gearbox
Peugeot,Peugeot 106 1.1 Classic,1996,30,166200,11.2,1482,Petrol,Manual
Maserati,Maserati Ghibli S Q4,2014,12,52100,29.8,51300,Petrol,Automatic
SEAT,Seat Leon,2014,12,220000,16.0,7562,Diesel,Manual
BMW,BMW X5 4.0d xDrive,2011,15,440000,29.9,28496,Diesel,Automatic
Toyota,Toyota Land Cruiser,2013,13,212000,22.3,57000,Diesel,Automatic
Volkswagen,Volkswagen Sharan 2.0 TDI Highline,2007,19,359000,19.7,10222,Diesel,Manual
Maserati,Maserati GranTurismo S Automatik,2014,12,64000,46.9,85500,Petrol,Automatic
Hyundai,Hyundai ix35 1.6 GDI Classic 2WD,2013,13,245622,12.5,16150,Petrol and LPG,Manual
Ferrari,Ferrari 612 Scaglietti F1,2008,18,44000,57.5,189620,Petrol,Automatic
BMW,BMW Seria 4 420d M Sport sport,2015,11,115000,20.0,53200,Diesel,Automatic
Volkswagen,Volkswagen Transporter,2009,17,280000,19.0,11020,Diesel,Manual
Volvo,Volvo XC 60,2021,5,31891,19.7,72162,Diesel,Automatic
Volvo,Volvo V60 D4 Momentum,2016,10,213000,19.7,22002,Diesel,Manual
Mercedes-Benz,Mercedes-Benz Sprinter 316 CDI (BlueTec) 906.233 7G-TRONIC Plus,2018,8,43113,16.0,37392,Petrol,Automatic
Mercedes-Benz,Mercedes-Benz GLC 220 d 4-Matic,2019,7,46000,19.9,53162,Petrol,Automatic
Maserati,Maserati GranTurismo S Automat,2011,15,69999,46.9,89300,Petrol,Automatic
Mercedes-Benz,Mercedes-Benz Klasa C 180 T Kompr Classic,2001,25,270000,20.0,5890,Petrol,Manual
Volkswagen,Volkswagen Tiguan 2.0 TDI SCR 4Mot Elegance DSG,2022,4,14124,15.0,80327,Petrol,Automatic
Ford,Ford Focus Turnier 1.0 EcoBoost Start-Stopp-System COOL&CONNECT,2013,13,170000,10.0,10602,Petrol,Manual
Mercedes-Benz,Mercedes-Benz AMG GT 43 4-Matic+,2023,3,10,19.9,281770,Diesel,Automatic
Aston Martin,Aston Martin Vantage,2013,13,43000,59.4,151620,Petrol,Automatic
Kia,Kia Ceed 1.6 CRDi 136 ISG SW Dream Team Edition,2017,9,69796,15.9,17100,Petrol,Manual
Porsche,Porsche 911,1998,28,57000,33.9,53200,Petrol,Automatic
Volvo,Volvo V40 CC D2 Drive-E Momentum,2017,9,188000,19.7,19950,Diesel,Manual
Porsche,Porsche 911 Carrera S,2007,19,168000,48.1,102220,Petrol,Manual
BMW,BMW X1,2019,7,36650,30.0,34162,Petrol,Automatic
Hyundai,Hyundai i20,2021,5,39866,15.0,19760,Petrol,Manual
Maserati,Maserati Quattroporte Q4 GranLusso,2019,7,55500,29.8,147820,Petrol,Automatic
Opel,Opel Mokka 1.7 CDTI Cosmo S&S 4x4,2013,13,171500,16.9,16682,Diesel,Manual
Nissan,Nissan Qashqai 1.6 DIG-T N-Tec,2016,10,149000,16.2,26562,Petrol,Manual
Toyota,Toyota Yaris,2017,9,63226,15.0,17100,Petrol,Manual
Mercedes-Benz,Mercedes-Benz ML 320 CDI 4-Matic,2005,21,361538,49.7,12122,Petrol and LPG,Automatic
SEAT,Seat Ibiza,2016,10,85000,19.7,20140,Diesel,Manual
Porsche,Porsche Boxster,1999,27,175777,24.8,23902,Petrol,Automatic
Peugeot,Peugeot 208 1.2 PureTech GT S&S EAT8,2021,5,11584,16.0,39406,Hybrid,Automatic
Volkswagen,Volkswagen Golf 1.4 Comfortline,2007,19,184000,13.9,5510,Petrol,Manual
Volkswagen,Volkswagen Passat 2.0 FSI Highline,2009,17,240000,19.7,5662,Diesel,Manual
Mercedes-Benz,Mercedes-Benz EQE AMG 43 4-Matic,2022,4,3152,19.9,212420,Petrol,Automatic
Bentley,Bentley Continental GT V8 S,2018,8,27500,59.5,142500,Petrol,Automatic
Porsche,Porsche 911 Carrera 4,1997,29,223000,24.8,72010,Petrol,Manual
Ferrari,Ferrari 812 GTS,2022,4,9500,65.0,946200,Petrol,Automatic
Mercedes-Benz,Mercedes-Benz Vito,2016,10,132000,19.9,41762,Petrol,Automatic
Toyota,Toyota Yaris,2019,7,82820,12.0,15542,Petrol,Manual
Opel,Opel Meriva 1.7 CDTI Enjoy,2009,17,271000,16.9,5662,Diesel,Manual
Porsche,Porsche 911,1998,28,57000,33.9,41762,Petrol,Automatic
Ferrari,Ferrari 612 Scaglietti F1,2008,18,44000,57.5,189620,Petrol,Automatic
Toyota,Toyota Corolla,2022,4,5,24.9,39843,Hybrid,Automatic
Maserati,Maserati Quattroporte Diesel,2011,15,84000,46.9,75924,Petrol,Automatic
Ferrari,Ferrari 612 Scaglietti F1,2008,18,39000,43.1,186493,Petrol,Automatic
Ferrari,Ferrari 488,2017,9,27000,39.0,437000,Petrol,Automatic
MINI,MINI ONE Standard,2009,17,181000,14.0,8322,Petrol,Automatic
SEAT,Seat Alhambra 2.0 TDI Ecomotive Style Advanced,2018,8,68000,10.0,33402,Petrol,Manual
Volkswagen,Volkswagen Tiguan 2.0 TDI BMT SCR Comfortline DSG,2019,7,143200,19.7,33060,Diesel,Automatic
Renault,Renault Clio 1.0 TCe Intens,2021,5,30980,10.0,30362,Petrol,Manual
Mercedes-Benz,Mercedes-Benz Klasa E 400 Coupe 4-Matic 9G-TRONIC,2016,10,111000,21.4,80142,Diesel,Automatic
Fiat,Fiat 500,2013,13,84842,36.0,13680,Petrol and LPG,Automatic
Opel,Opel Crossland X,2021,5,7100,12.0,31871,Petrol,Manual
Kia,Kia Ceed,2019,7,93772,13.5,31882,Petrol,Automatic
Alfa Romeo,Alfa Romeo 147 1.9 JTD 16V Black Line,2008,18,130000,19.1,5700,Diesel,Manual
Volkswagen,Volkswagen Tiguan,2021,5,30000,19.8,52402,Petrol,Automatic
Volkswagen,Volkswagen Passat,2019,7,48500,19.8,55100,Petrol,Automatic
Mercedes-Benz,Mercedes-Benz Klasa E,2014,12,99950,35.0,13680,Petrol,Automatic
Aston Martin,Aston Martin V8 Vantage Roadster N400 Sportshift,2005,21,84479,59.4,93100,Petrol,Automatic
Honda,Honda HR-V 1.6 i-DTEC Executive (ADAS),2015,11,286000,16.0,28880,Diesel,Manual
Honda,Honda Accord 2.0 Executive,2008,18,295000,13.4,6422,Hybrid,Automatic
Porsche,Porsche 911 Carrera S Cabrio,2016,10,20624,19.9,82840,Petrol,Manual
Porsche,Porsche 911,2005,21,105000,26.9,128535,Petrol,Manual
Porsche,Porsche 718 Boxster,2019,7,102,19.9,117420,Petrol,Manual
BMW,BMW Seria 3 320d Efficient Dynamic Edition Sport Line,2019,7,93800,20.0,25802,Diesel,Automatic
Bentley,Bentley Continental GT V8 S,2014,12,60000,39.9,143555,Petrol,Automatic
Peugeot,Peugeot 206 CC 1.6,2004,22,197000,15.9,4180,Petrol,Automatic
Honda,Honda Accord 2.2i-CTDi Executive,2007,19,154579,22.0,5662,Diesel,Manual
Toyota,Toyota Hilux,2019,7,48321,15.0,30210,Petrol,Manual
Aston Martin,Aston Martin V8 Vantage Roadster Sportshift,2010,16,35248,47.4,132924,Petrol,Automatic
